"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 86","152.4500","153.2100","154.7000","146.6900","-","-1.07%"
"May 86","154.1000","161.3500","167.0200","154.1000","-","-5.75%"
"Apr 86","163.5000","160.3800","163.5000","149.9500","-","2.16%"
"Mar 86","160.0400","159.9000","168.8800","159.9000","-","-1.77%"
"Feb 86","162.9200","169.2300","172.5700","161.3500","-","-6.34%"
"Jan 86","173.9400","192.9800","193.0800","173.9400","-","-11.27%"
"Dec 85","196.0400","201.8600","201.8600","191.8700","-","-2.74%"
"Nov 85","201.5600","202.1400","202.1400","196.5800","-","0.27%"
"Oct 85","201.0200","189.0900","201.0200","189.0900","-","6.61%"
"Sep 85","188.5500","175.6800","188.5500","174.7600","-","6.82%"
"Aug 85","176.5100","173.7000","177.8800","173.7000","-","1.69%"
"Jul 85","173.5800","177.1600","180.0500","172.2600","-","-3.59%"
"Jun 85","180.0500","187.9300","187.9300","179.6500","-","-4.03%"
"May 85","187.6200","186.9700","189.9500","183.2700","-","0.11%"
"Apr 85","187.4200","197.9500","198.2900","187.4200","-","-5.32%"
"Mar 85","197.9600","189.4100","199.6300","189.2000","-","5.17%"
"Feb 85","188.2300","195.4100","195.9200","185.8200","-","-2.86%"
"Jan 85","193.7800","194.2100","194.4100","191.0000","-","-0.90%"
"Dec 84","195.5300","199.7500","200.7400","194.5800","-","-2.53%"
"Nov 84","200.6000","200.9500","203.6500","199.9100","-","0.64%"
"Oct 84","199.3300","199.8700","200.0400","194.5600","-","0.09%"
"Sep 84","199.1600","197.9800","201.1700","197.4600","-","0.26%"
"Aug 84","198.6400","193.7600","200.2000","193.7600","-","4.03%"
"Jul 84","190.9500","205.8600","205.8600","190.5500","-","-8.20%"
"Jun 84","208.0000","213.9000","213.9000","205.6900","-","-3.03%"
"May 84","214.5000","211.1900","218.7200","211.1900","-","1.79%"
"Apr 84","210.7200","217.9800","219.4000","210.7200","-","-2.97%"
"Mar 84","217.1800","207.9800","217.1800","207.9800","-","4.76%"
"Feb 84","207.3200","214.9100","214.9100","200.4800","-","-1.99%"
"Jan 84","211.5300","211.8700","215.0200","211.1800","-","-2.13%"
"Dec 83","216.1400","209.0200","218.9400","206.4600","-","3.96%"
"Nov 83","207.9100","206.9300","211.7900","206.9300","-","0.95%"
"Oct 83","205.9600","206.2700","211.1200","205.5500","-","-1.44%"
"Sep 83","208.9700","213.0500","216.1200","208.9700","-","-2.43%"
"Aug 83","214.1700","212.4400","221.0800","212.4400","-","2.10%"
"Jul 83","209.7600","206.7800","210.4900","202.8300","-","1.12%"
"Jun 83","207.4300","205.0400","210.2500","205.0400","-","0.25%"
"May 83","206.9100","207.0500","208.4900","203.8800","-","-1.09%"
"Apr 83","209.1800","209.2300","213.5900","209.0500","-","0.77%"
"Mar 83","207.5900","197.5200","207.5900","196.4600","-","6.43%"
"Feb 83","195.0500","200.8100","203.9600","195.0500","-","-2.01%"
"Jan 83","199.0500","202.2300","206.8000","199.0500","-","-1.20%"
"Dec 82","201.4600","204.7400","204.7400","198.7600","-","-1.75%"
"Nov 82","205.0500","196.8100","205.7900","196.8100","-","3.98%"
"Oct 82","197.2100","196.5500","204.1600","194.9300","-","-1.10%"
"Sep 82","199.4000","208.0800","211.6700","199.4000","-","-3.77%"
"Aug 82","207.2200","208.6700","213.6400","205.7600","-","0.04%"
"Jul 82","207.1400","211.5600","211.5600","204.3800","-","-1.15%"
"Jun 82","209.5500","212.9100","212.9100","202.7200","-","-3.72%"
"May 82","217.6500","222.4900","223.0700","217.3300","-","-2.52%"
"Apr 82","223.2800","217.5900","225.0700","217.2600","-","3.49%"
"Mar 82","215.7500","209.6100","215.7900","209.6100","-","3.32%"
"Feb 82","208.8200","213.7900","215.2200","208.8200","-","-2.22%"
"Jan 82","213.5700","203.5900","213.5700","203.5900","-","5.91%"
"Dec 81","201.6500","215.7100","216.0200","199.0900","-","-6.39%"
"Nov 81","215.4200","220.2400","225.8200","212.7500","-","-2.67%"
"Oct 81","221.3400","222.2100","226.0500","218.5500","-","-0.74%"
"Sep 81","222.9800","224.0300","231.7000","222.9800","-","-0.04%"
"Aug 81","223.0700","227.7100","231.3600","221.4600","-","-3.26%"
"Jul 81","230.5800","229.5500","233.7100","224.8900","-","1.29%"
"Jun 81","227.6400","241.6200","243.8700","227.6400","-","-6.57%"
"May 81","243.6500","245.0500","245.0500","233.0200","-","-0.48%"
"Apr 81","244.8300","247.4500","250.5600","244.8300","-","-1.69%"
"Mar 81","249.0300","238.5300","249.0300","236.2100","-","1.56%"
"Feb 81","245.2100","248.4000","258.3500","245.2100","-","-2.77%"
"Jan 81","252.1900","269.1800","274.3300","250.5600","-","-6.14%"
"Dec 80","268.6900","286.0000","287.3100","256.6500","-","-8.61%"
"Nov 80","293.9900","295.2000","302.2100","286.9500","-","1.02%"
"Oct 80","291.0300","286.6000","298.1700","281.9700","-","2.22%"
"Sep 80","284.7100","268.0400","289.9500","268.0400","-","7.07%"
"Aug 80","265.9200","262.9500","268.9400","261.0300","-","1.62%"
"Jul 80","261.6900","255.3300","261.6900","249.3200","-","3.01%"
"Jun 80","254.0400","233.3700","254.0400","229.9500","-","6.78%"
"May 80","237.9100","225.6500","242.9100","225.6500","-","5.96%"
"Apr 80","224.5300","212.5600","230.6100","212.0500","-","3.84%"
"Mar 80","216.2200","250.9800","251.8700","216.2200","-","-12.76%"
"Feb 80","247.8500","251.3600","262.9800","247.4000","-","-1.20%"
