DATE,A229RX0
2020-03-01,44760.0
2020-04-01,51769.0
2020-05-01,49244.0
2020-06-01,48406.0
2020-07-01,48683.0
2020-08-01,46872.0
2020-09-01,47132.0
2020-10-01,46897.0
2020-11-01,46285.0
2020-12-01,46371.0
2021-01-01,51179.0
2021-02-01,46839.0
2021-03-01,57597.0
2021-04-01,48641.0
2021-05-01,47196.0
2021-06-01,46985.0
2021-07-01,47368.0
2021-08-01,47307.0
2021-09-01,46529.0
2021-10-01,46448.0
2021-11-01,46372.0
2021-12-01,46252.0
2022-01-01,46054.0
2022-02-01,45970.0
