"Date","Price","Open","High","Low","Change %"
"Feb 07, 2016","1.2060","1.2560","1.2740","0.9760","-3.29%"
"Jan 31, 2016","1.2470","1.3440","1.3850","1.1950","-6.24%"
"Jan 24, 2016","1.3300","1.4930","1.4990","1.3250","-10.38%"
"Jan 17, 2016","1.4840","1.4610","1.5090","1.3730","1.92%"
"Jan 10, 2016","1.4560","1.5640","1.6250","1.3890","-6.67%"
"Jan 03, 2016","1.5600","1.7800","1.7800","1.5560","-11.26%"
"Dec 27, 2015","1.7580","1.7310","1.8290","1.7000","2.45%"
"Dec 20, 2015","1.7160","1.6780","1.7350","1.6500","2.39%"
"Dec 13, 2015","1.6760","1.5870","1.7760","1.5740","7.50%"
"Dec 06, 2015","1.5590","1.7190","1.7300","1.5530","-8.78%"
"Nov 29, 2015","1.7090","1.6460","1.7810","1.5820","3.70%"
"Nov 22, 2015","1.6480","1.7050","1.7320","1.6370","-2.54%"
"Nov 15, 2015","1.6910","1.6270","1.7060","1.6190","1.87%"
"Nov 08, 2015","1.6600","1.7350","1.7790","1.6530","-4.16%"
"Nov 01, 2015","1.7320","1.5170","1.7740","1.5120","13.80%"
"Oct 25, 2015","1.5220","1.4160","1.5580","1.3420","7.33%"
"Oct 18, 2015","1.4180","1.3440","1.4260","1.3320","4.88%"
"Oct 11, 2015","1.3520","1.3830","1.3900","1.2690","-3.36%"
"Oct 04, 2015","1.3990","1.2860","1.4360","1.2740","8.37%"
"Sep 27, 2015","1.2910","1.4740","1.4820","1.2130","-12.53%"
"Sep 20, 2015","1.4760","1.4590","1.5310","1.4090","2.57%"
"Sep 13, 2015","1.4390","1.5260","1.6170","1.4310","-4.77%"
"Sep 06, 2015","1.5110","1.4890","1.5750","1.4630","2.72%"
"Aug 30, 2015","1.4710","1.5410","1.5510","1.4320","-3.10%"
"Aug 23, 2015","1.5180","1.4140","1.5330","1.2920","6.08%"
"Aug 16, 2015","1.4310","1.5970","1.6130","1.4180","-10.51%"
"Aug 09, 2015","1.5990","1.5870","1.6270","1.4300","1.59%"
"Aug 02, 2015","1.5740","1.5430","1.6710","1.5030","2.61%"
"Jul 26, 2015","1.5340","1.6170","1.6760","1.5290","-5.19%"
"Jul 19, 2015","1.6180","1.6880","1.7240","1.6000","-3.17%"
"Jul 12, 2015","1.6710","1.6500","1.7240","1.6150","0.72%"
"Jul 05, 2015","1.6590","1.5330","1.6880","1.4730","1.72%"
"Jun 28, 2015","1.6310","1.5990","1.7520","1.5860","-7.12%"
"Jun 21, 2015","1.7560","1.5990","1.7660","1.5940","11.56%"
"Jun 14, 2015","1.5740","1.7040","1.7530","1.5640","-9.70%"
"Jun 07, 2015","1.7430","1.7520","1.8110","1.6830","-0.06%"
"May 31, 2015","1.7440","1.4900","1.7900","1.4710","17.44%"
"May 24, 2015","1.4850","1.5650","1.5870","1.4660","-4.93%"
"May 17, 2015","1.5620","1.4650","1.6090","1.4550","6.69%"
"May 10, 2015","1.4640","1.4810","1.6730","1.4460","-1.41%"
"May 03, 2015","1.4850","1.5220","1.6520","1.4540","-0.93%"
"Apr 26, 2015","1.4990","1.3160","1.5100","1.3090","13.82%"
"Apr 19, 2015","1.3170","1.3110","1.4030","1.2900","0.69%"
"Apr 12, 2015","1.3080","1.4000","1.4270","1.2600","-6.30%"
"Apr 05, 2015","1.3960","1.3390","1.4080","1.2390","10.97%"
"Mar 29, 2015","1.2580","1.4250","1.4430","1.2390","-12.21%"
"Mar 22, 2015","1.4330","1.4100","1.4810","1.3400","1.20%"
"Mar 15, 2015","1.4160","1.5790","1.5910","1.3650","-10.78%"
"Mar 08, 2015","1.5870","1.7060","1.7060","1.5280","-6.48%"
"Mar 01, 2015","1.6970","1.5120","1.7110","1.4940","13.13%"
"Feb 22, 2015","1.5000","1.5900","1.6090","1.4350","-5.66%"
"Feb 15, 2015","1.5900","1.5000","1.6460","1.4880","3.52%"
"Feb 08, 2015","1.5360","1.4640","1.5650","1.4160","3.64%"
"Feb 01, 2015","1.4820","1.1730","1.4900","1.1640","28.53%"
"Jan 25, 2015","1.1530","1.2800","1.3630","1.1530","-11.85%"
"Jan 18, 2015","1.3080","1.2590","1.4110","1.2410","1.08%"
"Jan 11, 2015","1.2940","1.4340","1.4420","1.1520","-9.00%"
"Jan 04, 2015","1.4220","1.6000","1.6370","1.4040","-11.62%"
"Dec 28, 2014","1.6090","1.7530","1.7630","1.6000","-8.53%"
"Dec 21, 2014","1.7590","1.6500","1.7910","1.6320","6.93%"
"Dec 14, 2014","1.6450","1.5080","1.6780","1.4330","8.72%"
"Dec 07, 2014","1.5130","1.6940","1.7300","1.4930","-9.99%"
"Nov 30, 2014","1.6810","1.4950","1.6990","1.4540","12.52%"
"Nov 23, 2014","1.4940","1.6120","1.6360","1.4790","-7.15%"
"Nov 16, 2014","1.6090","1.5990","1.6600","1.5660","0.25%"
"Nov 09, 2014","1.6050","1.5900","1.6670","1.5490","1.13%"
"Nov 02, 2014","1.5870","1.5960","1.7010","1.5850","-1.37%"
"Oct 26, 2014","1.6090","1.5140","1.6330","1.4730","7.84%"
"Oct 19, 2014","1.4920","1.4430","1.5160","1.3500","5.07%"
"Oct 12, 2014","1.4200","1.4750","1.4990","1.1150","-7.61%"
"Oct 05, 2014","1.5370","1.7320","1.7380","1.5110","-10.64%"
"Sep 28, 2014","1.7200","1.7990","1.8110","1.6480","-4.23%"
"Sep 21, 2014","1.7960","1.8060","1.8160","1.7450","-1.10%"
"Sep 14, 2014","1.8160","1.8170","1.8790","1.7340","-0.06%"
