Date,avg_ret,regime
11/11/2012,-1.783066735,1
11/4/2012,-2.454015847,1
10/28/2012,0.093714235,1
10/21/2012,-1.096143291,1
10/14/2012,-0.229263709,1
10/7/2012,-2.415081676,1
9/30/2012,1.013382799,1
9/23/2012,-1.72070183,1
9/16/2012,-0.539414655,1
9/9/2012,2.051621859,1
9/2/2012,2.664947905,1
8/26/2012,-0.060414641,1
8/19/2012,-0.650805316,1
8/12/2012,1.507536132,1
8/5/2012,1.42178329,1
7/29/2012,-0.035642315,1
7/22/2012,1.198708401,1
7/15/2012,0.020625081,1
7/8/2012,-0.405100655,1
7/1/2012,0.097024348,1
6/24/2012,2.158663076,1
6/17/2012,0.064102158,1
6/10/2012,0.758306256,1
6/3/2012,3.94357546,2
5/27/2012,-3.301133211,0
5/20/2012,2.10578139,1
5/13/2012,-4.910918594,0
5/6/2012,-0.792919942,1
4/29/2012,-3.207383789,0
4/22/2012,2.150437856,1
4/15/2012,0.459328491,1
4/8/2012,-2.22437753,1
4/1/2012,-0.834088056,1
3/25/2012,0.569730185,1
3/18/2012,-0.138993457,1
3/11/2012,2.115279028,1
3/4/2012,0.636139033,1
2/26/2012,-0.579345049,1
2/19/2012,0.189358005,1
2/12/2012,1.606542809,1
2/5/2012,-0.672269159,1
1/29/2012,2.955683611,1
1/22/2012,0.841718398,1
1/15/2012,2.409823707,1
1/8/2012,1.320106682,1
1/1/2012,1.758004384,1
12/25/2011,-0.676271677,1
12/18/2011,3.355234803,2
12/11/2011,-3.065901279,0
12/4/2011,0.965533261,1
11/27/2011,8.224942072,2
11/20/2011,-5.521693258,0
11/13/2011,-3.715127354,0
11/6/2011,0.205854877,1
10/30/2011,-2.132277176,1
10/23/2011,4.639543458,2
10/16/2011,0.239080574,1
10/9/2011,7.121528358,2
10/2/2011,2.172567032,1
9/25/2011,-1.287794216,1
9/18/2011,-6.835501467,0
9/11/2011,5.719089601,2
9/4/2011,-1.274898069,1
8/28/2011,-0.410791689,1
8/21/2011,5.410906878,2
8/14/2011,-5.735698932,0
8/7/2011,-1.649022458,1
7/31/2011,-8.382167742,0
7/24/2011,-4.236655286,0
7/17/2011,2.07747838,1
7/10/2011,-2.359129982,1
7/3/2011,0.979722737,1
6/26/2011,5.647251332,2
6/19/2011,0.860551872,1
6/12/2011,-0.193826279,1
6/5/2011,-2.866650684,1
5/29/2011,-2.608430377,1
5/22/2011,0.128718414,1
5/15/2011,-0.595862763,1
5/8/2011,-0.002251764,1
5/1/2011,-2.251015931,1
4/24/2011,2.036638269,1
4/17/2011,1.494790479,1
4/10/2011,-0.640793787,1
4/3/2011,-0.436194432,1
3/27/2011,1.878086788,1
3/20/2011,3.249825448,2
3/13/2011,-1.843686469,1
3/6/2011,-1.991729181,1
2/27/2011,0.172239852,1
2/20/2011,-1.671282778,1
2/13/2011,1.086011906,1
2/6/2011,1.798946314,1
